original_url,wayback_timestamp,status,mime,suggested_target,match_confidence
/,20031031085559,200,text/html,,0.000
/1-hour-lifehack-chalkboard-freezer/,20180116190602,200,text/html,/2014/08/24/1-hour-lifehack-chalkboard-freezer.html,1.000
/10-second-hacks-paint-a-rotating-fan/,20180116224017,200,text/html,/2014/08/08/10-second-hacks-paint-a-rotating-fan.html,1.000
/2007/12/,20120119021850,200,text/html,/2009/04/21/wallclock-20.html,0.143
/2007/12/19/about.html,20200924142503,200,text/html,/2007/12/19/about.html,1.000
/2007/12/19/building-a-completely-automated-websshvnc-controlled-home-automation-server-from-a-clamshell-ibook-with-a-faulty-cd-drive-and-10-worth-of-electronics.html,20220523201234,200,text/html,/2007/12/19/building-a-completely-automated-websshvnc-controlled-home-automation-server-from-a-clamshell-ibook-with-a-faulty-cd-drive-and-10-worth-of-electronics.html,1.000
/2007/12/19/building-a-completely-automated-websshvnc-controlled-home-automation-server-from-a-clamshell-ibook-with-a-faulty-cd-drive-and-10-worth-of-electronics/,20121110115240,200,text/html,/2007/12/19/building-a-completely-automated-websshvnc-controlled-home-automation-server-from-a-clamshell-ibook-with-a-faulty-cd-drive-and-10-worth-of-electronics.html,1.000
/2007/12/19/building-the-perfect-batch-file-processor-for-converting-videos-with-vlc-for-xbox-360-playback.html,20200806080055,200,text/html,/2007/12/19/building-the-perfect-batch-file-processor-for-converting-videos-with-vlc-for-xbox-360-playback.html,1.000
/2007/12/19/building-the-perfect-batch-file-processor-for-converting-videos-with-vlc-for-xbox-360-playback/,20130417165507,200,text/html,/2007/12/19/building-the-perfect-batch-file-processor-for-converting-videos-with-vlc-for-xbox-360-playback.html,1.000
/2007/12/19/csserver-adventure.html,20200924154406,200,text/html,/2007/12/19/csserver-adventure.html,1.000
/2007/12/19/home-automation-gmail-in-ubuntu.html,20220523210043,200,text/html,/2007/12/19/home-automation-gmail-in-ubuntu.html,1.000
/2007/12/19/installing-scilab-and-the-scilab-image-and-video-processing-toolbox-in-ubuntu-linux.html,20200924134855,200,text/html,/2007/12/19/installing-scilab-and-the-scilab-image-and-video-processing-toolbox-in-ubuntu-linux.html,1.000
/2007/12/19/installing-scilab-and-the-scilab-image-and-video-processing-toolbox-in-ubuntu-linux/,20131020031017,200,text/html,/2007/12/19/installing-scilab-and-the-scilab-image-and-video-processing-toolbox-in-ubuntu-linux.html,1.000
/2007/12/19/picasa-web-album-living-in-la.html,20200924153743,200,text/html,/2007/12/19/picasa-web-album-living-in-la.html,1.000
/2007/12/19/ping-rebooter.html,20200924143627,200,text/html,/2007/12/19/ping-rebooter.html,1.000
/2007/12/19/re-writing-the-laser-pointer-paint-program-image-processing-in-cc-10x-speed-improvement.html,20200806075321,200,text/html,/2007/12/19/re-writing-the-laser-pointer-paint-program-image-processing-in-cc-10x-speed-improvement.html,1.000
/2007/12/19/shell-script-to-monitor-pid-cpu-usage-over-time.html,20200924154449,200,text/html,/2007/12/19/shell-script-to-monitor-pid-cpu-usage-over-time.html,1.000
/2007/12/19/shell-script-to-monitor-pid-cpu-usage-over-time/,20130401072021,200,text/html,/2007/12/19/shell-script-to-monitor-pid-cpu-usage-over-time.html,1.000
/2007/12/19/ssrss-super-simple-rss-2.html,20200806073104,200,text/html,/2007/12/19/ssrss-super-simple-rss-2.html,1.000
/2007/12/19/ssrss-super-simple-rss.html,20200924152430,200,text/html,/2007/12/19/ssrss-super-simple-rss.html,1.000
/2007/12/19/ssrss-super-simple-rss/,20120622181920,200,text/html,/2007/12/19/ssrss-super-simple-rss.html,1.000
/2007/12/19/title-bar-scroller-read-books-on-any-application-window-title-and-so-much-more.html,20200806081840,200,text/html,/2007/12/19/title-bar-scroller-read-books-on-any-application-window-title-and-so-much-more.html,1.000
/2007/12/19/title-bar-scroller-source-code.html,20200806073844,200,text/html,/2007/12/19/title-bar-scroller-source-code.html,1.000
/2007/12/19/title-bar-scroller-source-code/,20130108223333,200,text/html,/2007/12/19/title-bar-scroller-source-code.html,1.000
/2007/12/19/using-scilab-video-processing-toolbox-and-a-laser-pointer-to-paint-a-scene-in-realtime.html,20200806070830,200,text/html,/2007/12/19/using-scilab-video-processing-toolbox-and-a-laser-pointer-to-paint-a-scene-in-realtime.html,1.000
/2007/12/28/casey-on-youtube.html,20200806081941,200,text/html,/2007/12/28/casey-on-youtube.html,1.000
/2007/12/30/easy-execution-library-c-class-library-for-spawning-processes.html,20220523210058,200,text/html,/2007/12/30/easy-execution-library-c-class-library-for-spawning-processes.html,1.000
/2007/12/30/easy-execution-library-c-class-library-for-spawning-processes/,20130517054516,200,text/html,/2007/12/30/easy-execution-library-c-class-library-for-spawning-processes.html,1.000
/2008/01/,20120119021856,200,text/html,/2013/08/30/pax-prime-2013.html,0.250
/2008/01/11/snesaver-zsnes-screen-saver-for-linux.html,20200806082457,200,text/html,/2008/01/11/snesaver-zsnes-screen-saver-for-linux.html,1.000
/2008/01/11/snesaver-zsnes-screen-saver-for-linux/,20121029105408,200,text/html,/2008/01/11/snesaver-zsnes-screen-saver-for-linux.html,1.000
/2008/04/21/title-bar-scroller.html,20200924145328,200,text/html,/2008/04/21/title-bar-scroller.html,1.000
/2008/04/22/super-simple-rss-ssrss.html,20200806073137,200,text/html,/2008/04/22/super-simple-rss-ssrss.html,1.000
/2008/06/,20120119031755,200,text/html,/2016/05/16/review-doom-2016.html,0.222
/2008/06/10/half-a-line-of-shell-to-display-to-screen-while-compressing-output-the-most-useful-shell-ive-written-in-forever.html,20200806075151,200,text/html,/2008/06/10/half-a-line-of-shell-to-display-to-screen-while-compressing-output-the-most-useful-shell-ive-written-in-forever.html,1.000
/2008/06/10/half-a-line-of-shell-to-display-to-screen-while-compressing-output-the-most-useful-shell-ive-written-in-forever/,20160808000055,200,text/html,/2008/06/10/half-a-line-of-shell-to-display-to-screen-while-compressing-output-the-most-useful-shell-ive-written-in-forever.html,1.000
/2008/07/,20120120022233,200,text/html,/2009/04/21/wallclock-20.html,0.143
/2008/07/14/food-and-diet-management-for-the-unix-geek-a-python-script.html,20220523211847,200,text/html,/2008/07/14/food-and-diet-management-for-the-unix-geek-a-python-script.html,1.000
/2008/07/14/food-and-diet-management-for-the-unix-geek-a-python-script/,20120522014919,200,text/html,/2008/07/14/food-and-diet-management-for-the-unix-geek-a-python-script.html,1.000
/2008/07/24/i-have-cured-my-own-sleep-paralysis-and-you-can-too.html,20200924145609,200,text/html,/2008/07/24/i-have-cured-my-own-sleep-paralysis-and-you-can-too.html,1.000
/2008/10/,20120119021901,200,text/html,/2010/05/22/hackaway-2010-announced.html,0.160
/2008/10/14/the-live-for-free-philosophy-httpliveforfreenet.html,20220523205528,200,text/html,/2008/10/14/the-live-for-free-philosophy-httpliveforfreenet.html,1.000
/2008/10/14/the-live-for-free-philosophy-httpliveforfreenet/,20120622181240,200,text/html,/2008/10/14/the-live-for-free-philosophy-httpliveforfreenet.html,1.000
/2008/11/,20120119021906,200,text/html,/2013/08/30/pax-prime-2013.html,0.125
/2008/11/17/halloween-2008-king-me.html,20200806074633,200,text/html,/2008/11/17/halloween-2008-king-me.html,1.000
/2008/11/17/halloween-2008-king-me/,20120901120404,200,text/html,/2008/11/17/halloween-2008-king-me.html,1.000
/2008/11/25/calorie-counter-for-game-boy-advanceds.html,20200806075451,200,text/html,/2008/11/25/calorie-counter-for-game-boy-advanceds.html,1.000
/2008/12/,20120120022239,200,text/html,/2009/04/21/wallclock-20.html,0.143
/2008/12/12/zipit-z2-a-wireless-tor-and-privoxy-router-in-the-palm-of-your-hand.html,20200924141752,200,text/html,/2008/12/12/zipit-z2-a-wireless-tor-and-privoxy-router-in-the-palm-of-your-hand.html,1.000
/2008/12/12/zipit-z2-a-wireless-tor-and-privoxy-router-in-the-palm-of-your-hand/,20120512000636,200,text/html,/2008/12/12/zipit-z2-a-wireless-tor-and-privoxy-router-in-the-palm-of-your-hand.html,1.000
/2008/12/13/dosbox-for-zipit-z2.html,20200806065859,200,text/html,/2008/12/13/dosbox-for-zipit-z2.html,1.000
/2008/12/13/dosbox-for-zipit-z2/,20141028063648,200,text/html,/2008/12/13/dosbox-for-zipit-z2.html,1.000
